t2,current_x,current_y
0.05,(0.002165953890749399-5.09464906785044e-20j),(-0.01161514855955931+1.4172724680048404e-19j)
0.01,(0.00012261511441026885+1.6078718217960032e-19j),(0.009500012892474369+2.425245910402194e-20j)
0.02,(0.0010799632328574757+1.64666593078025e-19j),(0.003637579883817349-1.9500392511688502e-19j)
0.03,(-0.0004813146746665196+1.1091388224526712e-19j),(-0.0189748280851094+3.1939579561886257e-19j)
0.09,(0.0027274977376165388-6.065645286935408e-20j),(-0.0016495706208209384-1.238906387554398e-19j)
0.0,(-0.0012771214983316004+4.963020147847122e-20j),(-0.0008215821104009802-1.2993485410880967e-21j)
0.06,(-0.0009657077512946025+5.681208795912203e-20j),(-0.020718370552987548-1.6050353202138852e-19j)
0.08,(0.001236593248756431+1.5625216778000078e-20j),(-0.015668194890323745-2.144975413649955e-19j)
0.11,(-0.003545058041149586+3.634618376668203e-20j),(-0.02383045101707993+7.175597261017443e-20j)
0.14,(0.001365545130641649+2.943894771917843e-20j),(-0.010685944833036773-5.486602976280527e-19j)
0.1,(-0.0003317002931834716+3.4304834363799166e-22j),(-0.014537336628894724-5.52810547311362e-19j)
0.15,(-0.0003014641872278614+5.802938018344486e-20j),(-0.024195739660145713-4.337520197617712e-19j)
0.19,(0.0001229712432690754-8.332935434542436e-20j),(-0.021372925735404048+3.128727948920572e-22j)
0.16,(-0.001969517699094233-7.953851132954694e-21j),(-0.02412233436979178+8.927532446482458e-19j)
0.17,(0.0009619646366385508+4.127676255264931e-20j),(-0.012015751847564704+2.5917725878323897e-19j)
0.22,(-0.001999874713441854-2.4352197233561138e-22j),(-0.01124919584469797-7.333263973819358e-19j)
0.25,(-0.0051912210130065336+6.152847328855238e-21j),(-0.02685766656614476+1.111033635155679e-18j)
0.21,(0.0014304494044962766-1.0764094693707649e-20j),(0.01495505055930515-2.1444375477284485e-19j)
0.27,(0.0016423111355197769+1.535056634485287e-20j),(-0.07195900346100191-3.9627377646108376e-19j)
0.29,(0.0023832340714891377-2.087915039158169e-20j),(-0.05724739306714473-3.4156137729908673e-19j)
0.26,(-0.002196494405962201-3.375595701397838e-20j),(-0.05087202950265753-1.001406395957291e-18j)
0.2,(-8.581215888768611e-05-1.949049281411747e-20j),(-0.021603633486829348+2.4292290828366575e-19j)
